Category,Service,ID,Type,Key Required,Purpose
Identity,Hackerdogs-Core,hd-core,Self-hosted,Yes (JWT_SECRET_KEY),"Central auth, plan resolution, RBAC, credit billing, SSO"
Identity,Dev Login,dev_login,Self-hosted,No,Bypass auth in dev mode (HDSEARCH_DEV_LOGIN=1). Must be off in production
Billing,Hackerdogs-Core Credits,core_credits,Self-hosted,No,"Central credit ledger — 1 credit = $0.01, usage-based billing"
Billing,Stripe (retired),stripe,Commercial,Optional,"Payment processing for checkout/portal. Retired to hackerdogs-core"
AI Tools,hd_search,hd_search,Built-in,No,AI tool — unified search across all providers with auto-modality
AI Tools,hd_crawl,hd_crawl,Built-in,No,AI tool — fetch and read a URL as clean markdown
AI Tools,hd_maps,hd_maps,Built-in,No,AI tool — find local places/businesses with interactive map
AI Tools,hd_plot_map,hd_plot_map,Built-in,No,AI tool — plot named places/regions on a map
AI Tools,hd_archive,hd_archive,Built-in,No,AI tool — fetch archived URL snapshots from Common Crawl / Wayback
AI Tools,hd_chart,hd_chart,Built-in,No,"AI tool — render bar, line, pie, area charts from data"
AI Tools,hd_weather,hd_weather,Built-in,No,AI tool — live weather data + 5-day forecast
AI Tools,hd_render,hd_render,Built-in,No,"AI tool — rich UI cards (tables, code, stats, plans, social posts, etc.)"
AI Tools,MCP Servers,mcp,External,Varies,Model Context Protocol — connect external tool servers (stdio/SSE)
Geocoding,Photon (Komoot),photon,Free External,No,OSM geocoder — default public instance or self-hosted container
Geocoding,Nominatim,nominatim,Free External,No,OSM geocoder — optional alternative to Photon
Geocoding,Overpass API,overpass,Free External,No,OSM POI/tag query engine for maps modality
